Suggest_Method,Repeat,Iteration,I,H,C,P,Fluorescence
R-LLM,1,23,I2,H5,C5,P4,1133
R-LLM,1,23,I4,H3,C4,P2,26785
R-LLM,1,24,I4,H2,C3,P4,463
R-LLM,1,24,I3,H1,C4,P2,5106
R-LLM,1,25,I3,H4,C2,P3,2388
R-LLM,1,25,I1,H2,C2,P3,119
R-LLM,1,26,I1,H2,C1,P2,332
R-LLM,1,26,I2,H3,C2,P3,738
R-LLM,1,27,I1,H2,C2,P4,72535
R-LLM,1,27,I3,H1,C5,P3,386
R-LLM,1,28,I1,H2,C3,P1,67
R-LLM,1,28,I5,H5,C4,P1,50
R-LLM,1,29,I3,H3,C3,P2,51
R-LLM,1,29,I3,H2,C4,P4,87686
R-LLM,1,30,I1,H5,C4,P1,3280
R-LLM,1,30,I4,H4,C2,P1,142493
R-LLM,1,31,I2,H2,C3,P4,1549
R-LLM,1,31,I4,H4,C1,P2,239155
R-LLM,1,32,I4,H5,C2,P3,14602
R-LLM,1,32,I3,H5,C4,P4,4329
R-LLM,1,33,I1,H4,C2,P1,178299
R-LLM,1,33,I3,H1,C2,P4,2821
R-LLM,1,34,I1,H1,C2,P3,13047
R-LLM,1,34,I2,H1,C2,P1,2440
R-LLM,1,35,I4,H3,C3,P1,96
R-LLM,1,35,I2,H1,C5,P3,1102699
R-LLM,1,36,I5,H3,C3,P4,381
R-LLM,1,36,I4,H2,C1,P3,4469
R-LLM,1,37,I1,H3,C2,P3,444
R-LLM,1,37,I5,H1,C4,P2,1451
R-LLM,1,38,I2,H4,C4,P2,277
R-LLM,1,38,I4,H2,C4,P1,31476
R-LLM,1,39,I4,H5,C4,P3,828
R-LLM,1,39,I1,H4,C1,P4,1422626
R-LLM,1,40,I2,H2,C1,P4,342
R-LLM,1,40,I5,H5,C3,P4,1807
R-LLM,1,41,I3,H2,C1,P2,2505
R-LLM,1,41,I4,H5,C1,P4,331
R-LLM,1,42,I1,H2,C3,P4,50003
R-LLM,1,42,I3,H3,C4,P3,87871
R-LLM,1,43,I3,H5,C3,P3,73296
R-LLM,1,43,I4,H5,C4,P4,1358
R-LLM,1,44,I4,H1,C2,P1,2964
R-LLM,1,44,I4,H5,C5,P2,69154
R-LLM,1,45,I2,H5,C3,P4,448
R-LLM,1,45,I1,H5,C5,P4,2037
R-LLM,1,46,I2,H4,C3,P3,81404
R-LLM,1,46,I1,H1,C5,P2,4490
R-LLM,1,47,I5,H3,C2,P3,4960
R-LLM,1,47,I5,H2,C1,P4,42713
R-LLM,1,48,I5,H1,C1,P3,1428
R-LLM,1,48,I3,H3,C2,P2,114
R-LLM,1,49,I3,H2,C5,P4,293
R-LLM,1,49,I1,H4,C5,P1,690
R-LLM,1,50,I4,H4,C4,P1,1003785
R-LLM,1,50,I5,H4,C1,P3,2773348
R-LLM,2,1,I1,H2,C3,P3,4151
R-LLM,2,1,I2,H4,C4,P3,6751
R-LLM,2,2,I3,H1,C1,P1,2516
R-LLM,2,2,I4,H5,C5,P2,69154
R-LLM,2,3,I5,H3,C4,P4,14484
R-LLM,2,3,I1,H4,C2,P1,178299
R-LLM,2,4,I1,H3,C5,P4,1453
R-LLM,2,4,I2,H2,C1,P2,1438
R-LLM,2,5,I2,H5,C2,P4,1400
R-LLM,2,5,I3,H2,C4,P1,1131
R-LLM,2,6,I1,H5,C4,P3,23348
R-LLM,2,6,I4,H2,C2,P4,321
R-LLM,2,7,I1,H2,C2,P3,119
R-LLM,2,7,I4,H1,C4,P3,18519
R-LLM,2,8,I4,H2,C4,P1,31476
R-LLM,2,8,I5,H2,C4,P1,92071
R-LLM,2,9,I5,H4,C3,P2,775
R-LLM,2,9,I3,H3,C4,P2,2832
R-LLM,2,10,I5,H1,C5,P1,3490
R-LLM,2,10,I3,H4,C3,P4,23537
R-LLM,2,11,I1,H1,C3,P2,3192
R-LLM,2,11,I4,H3,C1,P3,3986
R-LLM,2,12,I5,H2,C5,P3,2388
R-LLM,2,12,I2,H3,C3,P1,259
R-LLM,2,13,I2,H2,C3,P1,11
R-LLM,2,13,I1,H1,C4,P4,357030
R-LLM,2,14,I1,H3,C4,P1,3401
R-LLM,2,14,I4,H4,C2,P3,7197
R-LLM,2,15,I3,H4,C5,P1,611
R-LLM,2,15,I2,H1,C2,P4,4276
R-LLM,2,16,I3,H5,C4,P3,1763
R-LLM,2,16,I5,H3,C2,P2,622
R-LLM,2,17,I1,H4,C2,P4,53404
R-LLM,2,17,I3,H3,C5,P3,2228
R-LLM,2,18,I4,H3,C5,P1,3029
R-LLM,2,18,I4,H1,C2,P1,2964
R-LLM,2,19,I1,H5,C5,P1,441
R-LLM,2,19,I5,H4,C4,P4,225354
R-LLM,2,20,I5,H1,C2,P4,42771
R-LLM,2,20,I4,H5,C4,P4,1358
R-LLM,2,21,I2,H4,C5,P2,1858
R-LLM,2,21,I3,H2,C5,P4,293
R-LLM,2,22,I5,H2,C4,P2,2787
R-LLM,2,22,I3,H4,C2,P3,2388
R-LLM,2,23,I1,H1,C1,P2,3689
R-LLM,2,23,I5,H5,C2,P3,33831
R-LLM,2,24,I1,H3,C3,P3,66106
R-LLM,2,24,I2,H5,C3,P1,98
R-LLM,2,25,I4,H1,C3,P4,580
R-LLM,2,25,I3,H2,C3,P3,429
R-LLM,2,26,I1,H1,C2,P1,1654
R-LLM,2,26,I2,H3,C4,P4,1338
R-LLM,2,27,I5,H2,C4,P3,82456
R-LLM,2,27,I4,H2,C5,P1,387
R-LLM,2,28,I2,H2,C2,P3,443
R-LLM,2,28,I5,H1,C3,P4,2794
R-LLM,2,29,I2,H4,C1,P4,1682296
R-LLM,2,29,I3,H5,C1,P2,62
R-LLM,2,30,I4,H5,C2,P3,14602
R-LLM,2,30,I2,H1,C5,P2,97843
R-LLM,2,31,I1,H3,C3,P4,4138
R-LLM,2,31,I3,H5,C3,P4,657
R-LLM,2,32,I4,H5,C1,P4,331
R-LLM,2,32,I2,H5,C1,P4,1083
R-LLM,2,33,I2,H1,C4,P3,2434
R-LLM,2,33,I4,H4,C4,P1,1003785
R-LLM,2,34,I3,H5,C2,P2,51
R-LLM,2,34,I1,H4,C5,P3,1076
R-LLM,2,35,I1,H4,C3,P1,36
R-LLM,2,35,I4,H2,C3,P2,198
R-LLM,2,36,I2,H4,C3,P2,84917
R-LLM,2,36,I4,H2,C3,P4,463
R-LLM,2,37,I1,H5,C2,P4,545
R-LLM,2,37,I2,H4,C2,P1,642076
R-LLM,2,38,I5,H4,C2,P1,1192715
R-LLM,2,38,I3,H4,C1,P2,5963
R-LLM,2,39,I2,H4,C5,P3,4595
R-LLM,2,39,I3,H1,C4,P4,33311
R-LLM,2,40,I1,H1,C5,P4,6858
R-LLM,2,40,I2,H4,C1,P1,207623
R-LLM,2,41,I2,H4,C5,P1,9539
R-LLM,2,41,I5,H4,C5,P2,2556
R-LLM,2,42,I3,H4,C4,P3,183711
R-LLM,2,42,I5,H3,C4,P1,912
R-LLM,2,43,I2,H1,C1,P1,4355
R-LLM,2,43,I5,H1,C4,P3,455263
R-LLM,2,44,I4,H1,C4,P3,18519
R-LLM,2,44,I1,H5,C3,P4,423
R-LLM,2,45,I2,H5,C3,P2,313
R-LLM,2,45,I3,H4,C2,P1,53171
R-LLM,2,46,I4,H2,C4,P2,23152
R-LLM,2,46,I5,H5,C3,P4,1807
R-LLM,2,47,I4,H4,C2,P2,25881
R-LLM,2,47,I1,H3,C2,P3,444
R-LLM,2,48,I1,H3,C1,P3,7073
R-LLM,2,48,I5,H4,C1,P3,2773348
R-LLM,2,49,I1,H5,C4,P1,3280
R-LLM,2,49,I1,H1,C4,P2,2488
R-LLM,2,50,I1,H2,C1,P3,435
R-LLM,2,50,I5,H4,C2,P4,5755
R-LLM,3,1,I4,H3,C4,P2,26785
R-LLM,3,1,I3,H3,C2,P3,575
R-LLM,3,2,I1,H2,C1,P1,556
R-LLM,3,2,I2,H1,C3,P4,5642
R-LLM,3,3,I4,H3,C4,P3,1243932
R-LLM,3,3,I1,H2,C5,P4,1517
R-LLM,3,4,I3,H4,C4,P4,89478
R-LLM,3,4,I5,H2,C3,P1,64
R-LLM,3,5,I4,H3,C4,P1,452
R-LLM,3,5,I4,H3,C4,P4,7066
R-LLM,3,6,I2,H3,C2,P4,397
R-LLM,3,6,I5,H5,C4,P3,965
R-LLM,3,7,I4,H3,C4,P3,1243932
R-LLM,3,7,I4,H4,C4,P3,7499
R-LLM,3,8,I3,H3,C1,P2,2693
R-LLM,3,8,I5,H2,C5,P3,2388
R-LLM,3,9,I2,H3,C4,P3,525213
R-LLM,3,9,I4,H2,C4,P3,1317074
R-LLM,3,10,I1,H1,C2,P1,1654
R-LLM,3,10,I3,H5,C4,P2,123056
R-LLM,3,11,I5,H1,C4,P2,1451
R-LLM,3,11,I2,H4,C4,P3,6751
R-LLM,3,12,I2,H2,C4,P3,347695
R-LLM,3,12,I5,H4,C5,P2,2556
R-LLM,3,13,I4,H5,C4,P3,828
R-LLM,3,13,I3,H3,C4,P3,87871
R-LLM,3,14,I3,H1,C4,P3,968
R-LLM,3,14,I3,H4,C4,P3,183711
R-LLM,3,15,I4,H3,C4,P2,26785
R-LLM,3,15,I2,H3,C4,P4,1338
R-LLM,3,16,I1,H3,C4,P3,40329
R-LLM,3,16,I3,H3,C5,P3,2228
R-LLM,3,17,I4,H2,C4,P4,55257
R-LLM,3,17,I2,H3,C3,P3,840
R-LLM,3,18,I3,H2,C4,P4,87686
R-LLM,3,18,I5,H3,C4,P4,14484
R-LLM,3,19,I1,H2,C4,P3,195055
R-LLM,3,19,I4,H5,C4,P4,1358
R-LLM,3,20,I5,H2,C4,P2,2787
R-LLM,3,20,I4,H1,C4,P3,18519
R-LLM,3,21,I3,H4,C2,P1,53171
R-LLM,3,21,I2,H1,C5,P3,1102699
R-LLM,3,22,I3,H4,C5,P3,1628
R-LLM,3,22,I4,H3,C4,P3,1243932
R-LLM,3,23,I2,H2,C3,P2,22643
R-LLM,3,23,I3,H5,C4,P1,36
R-LLM,3,24,I1,H5,C4,P2,1189738
R-LLM,3,24,I2,H3,C1,P1,2217
R-LLM,3,25,I2,H1,C4,P3,2434
R-LLM,3,25,I5,H4,C4,P1,806841
R-LLM,3,26,I2,H1,C4,P1,333
R-LLM,3,26,I1,H5,C4,P1,3280
R-LLM,3,27,I5,H1,C4,P3,455263
R-LLM,3,27,I4,H5,C4,P2,1042361
R-LLM,3,28,I1,H4,C1,P4,1422626
R-LLM,3,28,I2,H5,C2,P2,62
R-LLM,3,29,I5,H3,C4,P1,912
R-LLM,3,29,I1,H4,C4,P3,10325
R-LLM,3,30,I4,H1,C5,P1,787
R-LLM,3,30,I3,H5,C5,P4,51
R-LLM,3,31,I1,H5,C4,P3,23348
R-LLM,3,31,I3,H2,C4,P3,2674917
R-LLM,3,32,I1,H1,C4,P3,5027
R-LLM,3,32,I1,H4,C2,P2,8411
R-LLM,3,33,I4,H2,C2,P3,576
R-LLM,3,33,I2,H2,C4,P1,4295
R-LLM,3,34,I5,H1,C2,P4,42771
R-LLM,3,34,I3,H1,C1,P4,34
R-LLM,3,35,I3,H1,C2,P3,5071
R-LLM,3,35,I2,H4,C5,P4,3997
R-LLM,3,36,I5,H3,C4,P4,14484
R-LLM,3,36,I1,H2,C3,P2,5681
R-LLM,3,37,I1,H2,C5,P3,1604
R-LLM,3,37,I3,H1,C3,P1,24
R-LLM,3,38,I5,H4,C4,P2,5605
R-LLM,3,38,I4,H5,C3,P3,3806
R-LLM,3,39,I2,H1,C1,P3,1019
R-LLM,3,39,I1,H1,C5,P3,2681
R-LLM,3,40,I4,H2,C3,P2,198
R-LLM,3,40,I2,H4,C4,P2,277
R-LLM,3,41,I4,H2,C5,P4,133
R-LLM,3,41,I2,H1,C5,P1,14763
R-LLM,3,42,I1,H1,C4,P4,357030
R-LLM,3,42,I5,H3,C4,P2,27981
R-LLM,3,43,I5,H5,C5,P4,828
R-LLM,3,43,I2,H5,C4,P1,44
R-LLM,3,44,I3,H3,C2,P3,575
R-LLM,3,44,I5,H2,C1,P3,13334
R-LLM,3,45,I4,H4,C4,P2,1830
R-LLM,3,45,I2,H3,C5,P2,5824
R-LLM,3,46,I1,H4,C4,P1,79212
R-LLM,3,46,I3,H2,C4,P1,1131
R-LLM,3,47,I4,H4,C4,P1,1003785
R-LLM,3,47,I2,H4,C4,P1,768578
R-LLM,3,48,I3,H3,C4,P2,2832
R-LLM,3,48,I4,H3,C4,P4,7066
R-LLM,3,49,I3,H1,C4,P2,5106
R-LLM,3,49,I2,H4,C4,P3,6751
R-LLM,3,50,I1,H2,C3,P4,50003
R-LLM,3,50,I3,H1,C5,P2,11260
R-LLM,4,1,I5,H1,C4,P1,8119
R-LLM,4,1,I4,H4,C4,P3,7499
R-LLM,4,2,I1,H2,C5,P2,91091
R-LLM,4,2,I3,H3,C3,P4,155
R-LLM,4,3,I2,H5,C4,P3,2953
R-LLM,4,3,I1,H3,C1,P4,29072
R-LLM,4,4,I1,H3,C4,P2,4374
R-LLM,4,4,I2,H2,C1,P1,60221
R-LLM,4,5,I3,H2,C4,P3,2674917
R-LLM,4,5,I5,H4,C2,P4,5755
R-LLM,4,6,I2,H5,C5,P1,204
R-LLM,4,6,I4,H3,C3,P4,714
R-LLM,4,7,I1,H5,C4,P3,23348
R-LLM,4,7,I2,H2,C4,P3,347695
R-LLM,4,8,I5,H4,C5,P2,2556
R-LLM,4,8,I3,H1,C2,P4,2821
R-LLM,4,9,I3,H2,C4,P1,1131
R-LLM,4,9,I1,H2,C4,P1,1023
R-LLM,4,10,I4,H2,C4,P1,31476
R-LLM,4,10,I5,H1,C5,P3,634
R-LLM,4,11,I1,H4,C2,P2,8411
R-LLM,4,11,I2,H1,C3,P3,260
R-LLM,4,12,I4,H5,C5,P2,69154
R-LLM,4,12,I2,H4,C3,P4,12380
R-LLM,4,13,I4,H1,C1,P3,10066
R-LLM,4,13,I5,H3,C2,P4,780
R-LLM,4,14,I1,H1,C2,P3,13047
R-LLM,4,14,I3,H4,C3,P1,102
R-LLM,4,15,I3,H1,C4,P2,5106
R-LLM,4,15,I2,H3,C5,P4,2759
R-LLM,4,16,I1,H4,C5,P3,1076
R-LLM,4,16,I3,H5,C4,P2,123056
R-LLM,4,17,I2,H3,C2,P1,2141
R-LLM,4,17,I4,H5,C1,P3,7614
R-LLM,4,18,I4,H5,C2,P1,9
R-LLM,4,18,I2,H4,C4,P3,6751
R-LLM,4,19,I1,H1,C3,P2,3192
R-LLM,4,19,I4,H2,C5,P4,133
R-LLM,4,20,I5,H2,C3,P3,80824
R-LLM,4,20,I2,H4,C2,P1,642076
R-LLM,4,21,I5,H2,C4,P4,77495
R-LLM,4,21,I3,H4,C2,P3,2388
R-LLM,4,22,I1,H3,C3,P1,159
R-LLM,4,22,I4,H2,C3,P2,198
R-LLM,4,23,I5,H2,C1,P3,13334
R-LLM,4,23,I3,H2,C1,P2,2505
R-LLM,4,24,I1,H2,C2,P3,119
R-LLM,4,24,I2,H3,C1,P2,456
R-LLM,4,25,I4,H2,C2,P3,576
R-LLM,4,25,I1,H4,C4,P3,10325
R-LLM,4,26,I1,H1,C3,P4,65332
R-LLM,4,26,I5,H1,C2,P1,93701
R-LLM,4,27,I3,H5,C3,P3,73296
R-LLM,4,27,I5,H5,C4,P1,50
R-LLM,4,28,I1,H2,C4,P4,399845
R-LLM,4,28,I2,H5,C2,P4,1400
R-LLM,4,29,I2,H1,C4,P4,394759
R-LLM,4,29,I5,H1,C3,P2,2506
R-LLM,4,30,I5,H5,C2,P3,33831
R-LLM,4,30,I2,H1,C4,P2,807121
R-LLM,4,31,I2,H5,C1,P4,1083
R-LLM,4,31,I4,H1,C5,P2,14448
R-LLM,4,32,I3,H4,C1,P4,162449
R-LLM,4,32,I4,H1,C3,P1,13
R-LLM,4,33,I5,H2,C5,P1,861
R-LLM,4,33,I1,H5,C1,P4,10536
R-LLM,4,34,I2,H3,C1,P4,15196
R-LLM,4,34,I5,H4,C1,P3,2773348
R-LLM,4,35,I3,H5,C5,P4,51
R-LLM,4,35,I2,H1,C5,P3,1102699
R-LLM,4,36,I4,H4,C2,P1,142493
R-LLM,4,36,I5,H4,C2,P1,1192715
R-LLM,4,37,I1,H2,C2,P1,1318
R-LLM,4,37,I4,H3,C4,P2,26785
R-LLM,4,38,I2,H3,C4,P1,2109
R-LLM,4,38,I5,H2,C1,P4,42713
R-LLM,4,39,I2,H5,C2,P3,463
R-LLM,4,39,I4,H4,C5,P4,2228
R-LLM,4,40,I1,H4,C1,P1,182961
R-LLM,4,40,I4,H2,C2,P4,321
R-LLM,4,41,I4,H4,C2,P3,7197
R-LLM,4,41,I2,H2,C3,P2,22643
R-LLM,4,42,I2,H2,C2,P1,156
R-LLM,4,42,I3,H3,C4,P4,19498
R-LLM,4,43,I2,H4,C5,P1,9539
R-LLM,4,43,I5,H3,C5,P4,498
R-LLM,4,44,I5,H5,C3,P2,5679
R-LLM,4,44,I4,H1,C2,P4,1995
R-LLM,4,45,I1,H1,C5,P1,6995
R-LLM,4,45,I3,H3,C2,P3,575
R-LLM,4,46,I1,H3,C2,P4,1392
R-LLM,4,46,I5,H4,C3,P2,775
R-LLM,4,47,I4,H1,C1,P1,768
R-LLM,4,47,I5,H2,C2,P3,439
R-LLM,4,48,I3,H2,C5,P1,430
R-LLM,4,48,I4,H5,C3,P4,1341
R-LLM,4,49,I3,H5,C2,P4,2681
R-LLM,4,49,I4,H3,C2,P1,856
R-LLM,4,50,I1,H3,C5,P4,1453
R-LLM,4,50,I2,H2,C2,P3,443
R-LLM,5,1,I3,H3,C1,P4,52156
R-LLM,5,1,I4,H2,C1,P1,564
R-LLM,5,2,I1,H5,C2,P3,955
R-LLM,5,2,I2,H4,C5,P2,1858
R-LLM,5,3,I5,H1,C4,P3,455263
R-LLM,5,3,I2,H1,C3,P4,5642
R-LLM,5,4,I1,H2,C5,P2,91091
R-LLM,5,4,I4,H3,C4,P3,1243932
R-LLM,5,5,I3,H4,C3,P1,102
R-LLM,5,5,I5,H2,C1,P4,42713
R-LLM,5,6,I2,H5,C4,P1,44
R-LLM,5,6,I3,H1,C5,P3,386
R-LLM,5,7,I3,H2,C4,P1,1131
R-LLM,5,7,I1,H3,C5,P4,1453
R-LLM,5,8,I5,H4,C2,P1,1192715
R-LLM,5,8,I4,H1,C5,P3,270
R-LLM,5,9,I5,H3,C2,P4,780
R-LLM,5,9,I1,H1,C3,P2,3192
R-LLM,5,10,I2,H3,C4,P2,8619
R-LLM,5,10,I4,H5,C3,P4,1341
R-LLM,5,11,I5,H5,C4,P2,7898
R-LLM,5,11,I4,H4,C3,P2,1014
R-LLM,5,12,I1,H4,C2,P3,5883
R-LLM,5,12,I2,H2,C3,P3,11373
R-LLM,5,13,I4,H3,C2,P4,729
R-LLM,5,13,I5,H1,C5,P1,3490
R-LLM,5,14,I3,H2,C1,P2,2505
R-LLM,5,14,I5,H3,C4,P1,912
R-LLM,5,15,I3,H1,C2,P1,613
R-LLM,5,15,I2,H4,C3,P4,12380
R-LLM,5,16,I5,H4,C1,P3,2773348
R-LLM,5,16,I1,H2,C2,P4,72535
R-LLM,5,17,I5,H4,C2,P4,5755
R-LLM,5,17,I4,H1,C4,P1,263
R-LLM,5,18,I5,H1,C2,P2,13391
R-LLM,5,18,I4,H2,C3,P3,719
R-LLM,5,19,I1,H1,C2,P3,13047
R-LLM,5,19,I3,H4,C2,P3,2388
R-LLM,5,20,I5,H4,C3,P1,61707
R-LLM,5,20,I2,H5,C3,P4,448
R-LLM,5,21,I5,H4,C5,P4,1068
R-LLM,5,21,I2,H2,C1,P1,60221
R-LLM,5,22,I3,H5,C1,P3,17599
R-LLM,5,22,I1,H3,C1,P1,4217
R-LLM,5,23,I5,H2,C4,P2,2787
R-LLM,5,23,I2,H3,C1,P3,5224
R-LLM,5,24,I3,H1,C2,P4,2821
R-LLM,5,24,I5,H2,C5,P1,861
R-LLM,5,25,I4,H5,C1,P2,26
R-LLM,5,25,I1,H5,C5,P1,441
R-LLM,5,26,I5,H1,C3,P2,2506
R-LLM,5,26,I3,H2,C5,P4,293
R-LLM,5,27,I1,H3,C4,P2,4374
R-LLM,5,27,I3,H5,C2,P2,51
R-LLM,5,28,I5,H2,C4,P4,77495
R-LLM,5,28,I1,H3,C1,P3,7073
R-LLM,5,29,I5,H1,C4,P4,68986
R-LLM,5,29,I3,H5,C4,P4,4329
R-LLM,5,30,I1,H4,C3,P1,36
R-LLM,5,30,I2,H1,C1,P3,1019
R-LLM,5,31,I5,H5,C5,P4,828
R-LLM,5,31,I5,H5,C3,P3,5033
R-LLM,5,32,I3,H5,C5,P1,173
R-LLM,5,32,I2,H4,C2,P1,642076
R-LLM,5,33,I4,H3,C2,P3,20
R-LLM,5,33,I2,H2,C2,P2,65
R-LLM,5,34,I4,H4,C1,P4,568488
R-LLM,5,34,I3,H3,C3,P2,51
R-LLM,5,35,I1,H1,C4,P4,357030
R-LLM,5,35,I3,H4,C1,P3,544517
R-LLM,5,36,I2,H1,C4,P4,394759
R-LLM,5,36,I4,H4,C4,P2,1830
R-LLM,5,37,I1,H1,C5,P4,6858
R-LLM,5,37,I2,H4,C5,P3,4595
R-LLM,5,38,I2,H1,C3,P1,11
R-LLM,5,38,I3,H3,C1,P1,2009
R-LLM,5,39,I1,H4,C2,P1,178299
R-LLM,5,39,I3,H1,C4,P1,402
R-LLM,5,40,I2,H5,C2,P2,62
R-LLM,5,40,I4,H5,C4,P2,1042361
R-LLM,5,41,I4,H4,C4,P4,296285
R-LLM,5,41,I1,H5,C1,P2,1096
R-LLM,5,42,I4,H2,C4,P4,55257
R-LLM,5,42,I5,H3,C3,P1,25
R-LLM,5,43,I4,H3,C5,P1,3029
R-LLM,5,43,I1,H2,C3,P4,50003
R-LLM,5,44,I3,H2,C5,P2,30022
R-LLM,5,44,I4,H5,C2,P3,14602
R-LLM,5,45,I2,H5,C5,P4,1133
R-LLM,5,45,I5,H2,C3,P2,740
R-LLM,5,46,I2,H2,C1,P4,342
R-LLM,5,46,I1,H3,C1,P2,907
R-LLM,5,47,I1,H5,C3,P4,423
R-LLM,5,47,I4,H3,C1,P2,1685
R-LLM,5,48,I2,H1,C5,P3,1102699
R-LLM,5,48,I4,H2,C5,P1,387
R-LLM,5,49,I1,H1,C4,P3,5027
R-LLM,5,49,I3,H4,C2,P1,53171
R-LLM,5,50,I2,H2,C1,P3,1187
R-LLM,5,50,I3,H4,C2,P2,6784
R-LLM,6,1,I2,H1,C3,P4,5642
R-LLM,6,1,I4,H2,C5,P1,387
R-LLM,6,2,I1,H3,C2,P3,444
R-LLM,6,2,I3,H4,C1,P2,5963
R-LLM,6,3,I5,H5,C4,P1,50
R-LLM,6,3,I3,H1,C2,P4,2821
R-LLM,6,4,I1,H4,C3,P4,390622
R-LLM,6,4,I2,H3,C5,P2,5824
R-LLM,6,5,I4,H5,C4,P3,828
R-LLM,6,5,I2,H2,C1,P1,60221
R-LLM,6,6,I3,H2,C1,P1,1041
R-LLM,6,6,I5,H4,C3,P2,775
R-LLM,6,7,I1,H2,C5,P3,1604
R-LLM,6,7,I3,H3,C4,P1,2850
R-LLM,6,8,I4,H3,C3,P1,96
R-LLM,6,8,I5,H1,C5,P3,634
R-LLM,6,9,I5,H1,C3,P4,2794
R-LLM,6,9,I2,H5,C1,P2,180
R-LLM,6,10,I1,H2,C1,P2,332
R-LLM,6,10,I2,H2,C2,P1,156
R-LLM,6,11,I4,H3,C4,P2,26785
R-LLM,6,11,I1,H5,C3,P4,423
R-LLM,6,12,I2,H4,C2,P3,717
R-LLM,6,12,I3,H2,C4,P4,87686
R-LLM,6,13,I1,H3,C5,P4,1453
R-LLM,6,13,I4,H4,C2,P3,7197
R-LLM,6,14,I4,H1,C3,P3,127
R-LLM,6,14,I2,H3,C1,P4,15196
R-LLM,6,15,I3,H5,C3,P3,73296
R-LLM,6,15,I5,H3,C5,P4,498
R-LLM,6,16,I4,H2,C2,P4,321
R-LLM,6,16,I5,H4,C4,P3,11626
R-LLM,6,17,I1,H5,C4,P2,1189738
R-LLM,6,17,I3,H1,C5,P3,386
R-LLM,6,18,I3,H3,C1,P4,52156
R-LLM,6,18,I1,H5,C2,P1,3260
R-LLM,6,19,I4,H4,C5,P4,2228
R-LLM,6,19,I2,H1,C2,P3,12701
R-LLM,6,20,I4,H3,C3,P2,1122
R-LLM,6,20,I3,H5,C5,P4,51
R-LLM,6,21,I1,H5,C3,P1,204
R-LLM,6,21,I2,H2,C4,P3,347695
R-LLM,6,22,I5,H2,C3,P1,64
R-LLM,6,22,I2,H4,C5,P1,9539
R-LLM,6,23,I1,H1,C3,P1,35
R-LLM,6,23,I4,H4,C1,P1,153113
R-LLM,6,24,I1,H3,C1,P2,907
R-LLM,6,24,I3,H2,C3,P4,608
R-LLM,6,25,I1,H1,C2,P2,80
R-LLM,6,25,I2,H3,C3,P1,259
R-LLM,6,26,I5,H2,C4,P4,77495
R-LLM,6,26,I3,H5,C2,P2,51
R-LLM,6,27,I5,H2,C1,P3,13334
R-LLM,6,27,I1,H4,C4,P3,10325
R-LLM,6,28,I1,H3,C4,P2,4374
R-LLM,6,28,I4,H5,C2,P2,79
R-LLM,6,29,I5,H3,C2,P2,622
R-LLM,6,29,I4,H5,C3,P1,79
R-LLM,6,30,I4,H2,C3,P2,198
R-LLM,6,30,I3,H4,C3,P4,23537
R-LLM,6,31,I2,H4,C1,P3,549731
R-LLM,6,31,I1,H4,C1,P1,182961
R-LLM,6,32,I2,H5,C4,P4,739
